#name;armies;unit_type;paint_points;cost;points;max_fa;own_amount;built_amount;painted_amount
Morrowan Archon;Legacy Crucible Guard/Legacy Cygnar;Solo;4;39.99;7;2;1;0;0
Morrowan Battle Priest;Legacy Crucible Guard/Legacy Cygnar;Solo;1;15.99;2;4;1;0;0
Morvahna the Autumnblade;Legacy Circle Orboros;Warlock;1;9.99;0;1;0;0;0
Morvahna the Dawnshadow;Legacy Circle Orboros;Warlock;4;29.99;0;1;1;0;0
Necrotech;Dark Host/Legacy Cryx;Solo;2;12.99;1;3;3;1;0
Negation Angels;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;3;ARCHNUMEN_AURORA+27.99;6;3;0;0;0
Negator;Convergence of Cyriss/Legacy Convergence of Cyriss;Light Warjack;2;24.99;6;4;0;0;0
Nightmare;Dark Host/Legacy Cryx;Heavy Warjack;4;49.99;14;1;0;0;0
Nightwretch;Blackfleet/Dark Host/Legacy Cryx;Light Warjack;2;19.99/2;6;4;2;0;0
Nuala the Huntress;Devourer's Host/Legacy Circle Orboros;Command Attachment;1;11.99;3;1;1;0;0
Obstructors;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;5;49.99/2;6;3;2;0;0
Ogrun Assault Corps;Legacy Crucible Guard/Legacy Cygnar;Unit;6;69.99;9;2;0;0;0
Ogrun Bokur;Legacy Circle Orboros/Legacy Crucible Guard/Legacy Cygnar;Solo;2;22.99;3;2;2;0;0
Ol' Grim;Dark Host/Legacy Cryx;Solo;1;14.99;6;1;1;0;0
Ol' Rowdy;Storm Knights/Legacy Cygnar;Heavy Warjack;4;49.99;13;1;1;0;0
Optifex Directive;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;3;16.99;3;4;0;0;0
Order of Illumination Resolutes;Legacy Crucible Guard/Legacy Cygnar;Unit;6;49.99;6;2;0;0;0
Order of Illumination Vigilants;Legacy Crucible Guard/Legacy Cygnar;Unit;5;39.99;7;2;1;0;0
Patrol Dog;First Army/Legacy Cygnar;Solo;1;8.99;1;2;1;0;0
Perforators;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;6;44.99;9;2;2;0;0
Pirate Queen Skarre;Blackfleet/Legacy Cryx;Warcaster;1;11.99;0;1;1;1;0
Pistol Wraith;Dark Host/Legacy Cryx;Solo;1;7.99;4;2;2;2;0
Powder Monkey;Legacy Cygnar;Solo;1;14.99;2;3;0;0;0
Precursor Knight Officer & Standard;Legacy Cygnar;Command Attachment;2;19.99;3;2;0;0;0
Precursor Knights;Legacy Cygnar;Unit;5;69.99/2;6;2;0;0;0
Prefect Hypatia;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;1;ARCHNUMEN_AURORA;4;1;0;0;0
Press Gangers;Legacy Crucible Guard/Legacy Cygnar;Unit;5;44.99/2;5;4;4;0;0
Primal Archon;Legacy Circle Orboros;Solo;4;39.99;7;2;2;1;0
Prime Axiom;Convergence of Cyriss/Legacy Convergence of Cyriss;Colossal Warjack;10;109.99;29;2;0;0;0
Prime Conflux;Convergence of Cyriss/Legacy Convergence of Cyriss;Colossal Warjack;13;109.99;26;2;0;0;0
Princess Delores Graciela;Legacy Crucible Guard/Legacy Cygnar;Solo;1;49.99;4;1;1;0;0
Prospero;Crucible Guard/Legacy Crucible Guard;Solo;2;16.99;4;1;1;1;0
Pureblood Warpwolf;Devourer's Host/Secret Dominion/Legacy Circle Orboros;Heavy Warbeast;4;34.99;15;4;2;0;0
Ragman;Legacy Crucible Guard/Legacy Cygnar;Solo;1;10.99;3;1;1;0;0
Railless Interceptor;Crucible Guard/Legacy Crucible Guard;Battle Engine;10;119.99;13;2;1;1;0
Raluk Moorclaw, the Ironmonger;Legacy Cygnar;Solo;2;17.99;4;1;0;0;0
Rangers;First Army/Legacy Cygnar;Unit;3;30.99/2;4;3;2;0;0
Raptor;Necrofactorium;Light Warjack;2;CRYX_NECROFACTORIUM_BATTLEGROUP;8;6;0;0;0
Razorwing Griffon;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;18.99;7;4;0;0;0
Reaper;Blackfleet/Dark Host/Legacy Cryx;Heavy Warjack;4;34.99;11;4;2;1;0
Reciprocators;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;6;44.99;8;2;0;0;0
Reductors;Convergence of Cyriss/Legacy Convergence of Cyriss;Unit;5;49.99/2;6;3;0;0;0
Reeve Hunter;Secret Dominion/Legacy Circle Orboros;Solo;1;12.99;4;2;0;0;0
Reeve of Orboros Chieftain & Standard/Legacy Circle Orboros;Secret Dominion;Command Attachment;2;17.99;3;2;0;0;0
Reeves of Orboros;Secret Dominion/Legacy Circle Orboros;Unit;5;54.99/2;7;2;0;0;0
Reflex Servitors;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;3;10.99;2;3;2;0;0
Reinholdt, Gobber Speculator;Legacy Cygnar;Solo;1;5.99;3;1;1;0;0
Reliant;Storm Knights/Legacy Cygnar;Heavy Warjack;4;34.99;13;4;0;0;0
Retaliator;Crucible Guard/Legacy Crucible Guard;Light Warjack;2;28.99;8;4;0;0;0
Rhupert Carvolo, Piper of Ord;Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;3;1;1;0;0
Rip Horn Satyr;Devourer's Host/Secret Dominion/Legacy Circle Orboros;Heavy Warbeast;4;34.99;12;4;0;0;0
Ripjaw;Blackfleet/Dark Host/Legacy Cryx;Light Warjack;2;19.99/2;5;4;3;0;0
Rocketman Ace;Crucible Guard/Legacy Crucible Guard;Solo;1;13.99;3;2;1;0;0
Rocketman Stinger;Crucible Guard/Legacy Crucible Guard;Solo;1;14.99;3;2;1;0;0
Rocketmen Gunners;Crucible Guard/Legacy Crucible Guard;Unit;3;CRUCIBLE_GUARD_ROCKETMEN;5;3;1;0;0
Rorsh & Brine;Legacy Circle Orboros/Legacy Cygnar;Solo;5;44.99;14;1;1;1;0
Rotterhorn Griffon;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;18.99;8;4;1;0;0
Rutger Shaw, Professional Adventurer;Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;3;1;1;0;0
Satyxis Blood Hag;Blackfleet/Legacy Cryx;Command Attachment;1;9.99;3;2;0;0;0
Satyxis Blood Priestess;Blackfleet/Legacy Cryx;Solo;1;11.99;3;1;0;0;0
Satyxis Blood Witches;Blackfleet/Legacy Cryx;Unit;5;49.99/2;6;2;0;0;0
Satyxis Gunslingers;Blackfleet/Legacy Cryx;Unit;3;24.99;5;2;0;0;0
Satyxis Raider Captain;Blackfleet/Legacy Cryx;Solo;1;9.99;3;2;0;0;0
Satyxis Raider Sea Witch;Blackfleet/Legacy Cryx;Command Attachment;1;SATYXIS_RAIDER;3;2;1;0;0
Satyxis Raiders;Blackfleet/Legacy Cryx;Unit;5;SATYXIS_RAIDER;7;2;1;0;0
Savio Montero Acosta;Storm Knights/Legacy Cygnar;Solo;1;17.99;5;1;1;0;0
Saxon Orrik;Legacy Circle Orboros;Solo;1;9.99;3;1;0;0;0
Scarsfell Griffon;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;18.99;8;4;1;0;0
Scavenger;Blackfleet/Legacy Cryx;Light Warjack;2;13.99;6;4;0;0;0
Scharde Dirge Seers;Blackfleet/Legacy Cryx;Unit;3;24.99;4;2;0;0;0
Scharde Ogrun Boarding Party;Blackfleet/Legacy Cryx;Unit;6;54.99;7;2;1;0;0
Scharde Ogrun Ironmongers;Blackfleet/Legacy Cryx;Unit;6;31.99;5;2;1;0;0
Scharde Ogrun Smog Belchers;Blackfleet/Legacy Cryx;Unit;6;44.99;9;2;0;0;0
Scharde Pirate Officer;Blackfleet/Legacy Cryx;Command Attachment;1;SCHARDE_PIRATE;2;4;1;0;0
Scharde Pirates;Blackfleet/Legacy Cryx;Unit;5;SCHARDE_PIRATE;6;4;1;0;0
Scrap Thrall;Dark Host/Legacy Cryx;Solo;1;10.99/31;1;9;9;3;0
Scythe;Legacy Cygnar;Solo;1;16.99;6;1;1;0;0
Sea Dog Deck Gun;Legacy Crucible Guard/Legacy Cygnar;Unit;4;17.99;3;2;0;0;0
Sea Dog Pirates;Legacy Crucible Guard/Legacy Cygnar;Unit;5;49.99/2;5;4;4;0;0
Sea Dog Rifleman;Legacy Crucible Guard/Legacy Cygnar;Unit;3;32.97;3;4;2;0;0
Seether;Dark Host/Legacy Cryx;Heavy Warjack;4;34.99;10;4;1;0;0
Sentinel;First Army/Legacy Cygnar;Light Warjack;2;18.99;7;4;1;0;0
Sentry Stone & Mannikins;Secret Dominion/Legacy Circle Orboros;Solo;4;16.99;5;2;2;0;0
Sepulcher;Blackfleet/Dark Host/Legacy Cryx;Colossal Warjack;10;109.99;28;2;0;0;0
Sergeant Nicolas Verendrye;Legacy Crucible Guard/Legacy Cygnar;Solo;1;15.99;3;1;0;0;0
Severa Blacktide;Blackfleet/Legacy Cryx;Solo;1;12.99;4;1;0;0;0
Shadowhorn Satyr;Devourer's Host/Secret Dominion/Legacy Circle Orboros;Heavy Warbeast;4;34.99;9;4;1;0;0
Shifting Stones;Secret Dominion/Legacy Circle Orboros;Unit;3;11.99;2;2;2;0;0 
Shivers;Legacy Circle Orboros;Solo;1;RIOT_QUEST_WINTERTIME;3;1;1;1;0
Shrike;Blackfleet/Legacy Cryx;Light Warjack;2;14.99;6;4;2;0;0
Silver Line Stormguard;Storm Knights/Legacy Cygnar;Unit;5;64.98/2;5;2;0;0;0
Sir Dreyfus the Storm Knight;Storm Knights/Legacy Cygnar;Solo;2;RIOT_QUEST;4;1;1;1;1
Skarlock Thrall;Dark Host/Legacy Cryx;Solo;1;9.99;2;1;1;1;0
Skarre, Admiral of the Black Fleet;Blackfleet/Legacy Cryx;Warcaster;10;124.99;0;1;1;0;0
Slayer;Blackfleet/Dark Host/Legacy Cryx;Heavy Warjack;4;34.99;9;4;4;1;0
Soul Trapper;Dark Host/Legacy Cryx;Solo;1;19.99/2;1;6;3;0;0
Squire;First Army/Storm Knights/Legacy Cygnar;Solo;1;9.99;4;1;1;0;0
Stalker;Dark Host/Legacy Cryx;Light Warjack;2;11.99;7;4;4;4;4
Stannis Brocker;Legacy Crucible Guard/Legacy Cygnar;Solo;4;19.99;6;1;1;0;0
Steelhead Arcanist;Legacy Crucible Guard/Legacy Cygnar;Solo;1;14.99;2;3;0;0;0
Steelhead Cannon Crew;Legacy Crucible Guard/Legacy Cygnar;Unit;6;34.99;5;2;0;0;0
Steelhead Gunner;Legacy Crucible Guard/Legacy Cygnar;Solo;1;13.99;3;3;0;0;0
Steelhead Halberdiers;Legacy Crucible Guard/Legacy Cygnar;Unit;5;54.99/2;5;4;0;0;0
Steelhead Heavy Cavalry;Legacy Crucible Guard/Legacy Cygnar;Unit;12;89.99;8;2;1;0;0
Steelhead Ironhead;Legacy Crucible Guard/Legacy Cygnar;Solo;2;19.99;3;2;0;0;0
Steelhead Mortar Crew;Legacy Crucible Guard/Legacy Cygnar;Unit;6;34.99;5;2;1;0;0
Steelhead Riflemen;Legacy Crucible Guard/Legacy Cygnar;Unit;5;54.99/2;5;4;0;0;0
Steelhead Volley Gun Crew;Legacy Crucible Guard/Legacy Cygnar;Unit;6;34.99;5;2;0;0;0
Steelsoul Protector;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;2;13.99;3;3;1;0;0
Stone Keeper;Secret Dominion/Legacy Circle Orboros;Solo;1;9.99;2;2;0;0;0
Stone Lord Guvul Godor;Legacy Crucible Guard/Legacy Cygnar;Solo;1;14.99;4;1;1;0;0
Stonecold Black Bella;Legacy Crucible Guard/Legacy Cygnar;Solo;1;RIOT_QUEST_WINTERTIME;3;1;1;0;0
Stoneward & Woldstalkers;Secret Dominion/Legacy Circle Orboros;Unit;6;24.99;8;2;0;0;0
Storm Lances;Storm Knights/Legacy Cygnar;Unit;12;84.99;11;2;0;0;0
Storm Raptor;Devourer's Host/Legacy Circle Orboros;Gargantuan Warbeast;10;109.99;25;2;1;0;0
Storm Strider;Storm Knights/Legacy Cygnar;Battle Engine;10;84.99;14;2;0;0;0
Stormblade Captain;Storm Knights/Legacy Cygnar;Solo;1;15.99;4;2;2;0;0
Stormblade Infantry Officer & Standard;Storm Knights/Legacy Cygnar;Command Attachment;2;19.99;3;3;2;0;0
Stormblade Infantry Storm Gunner;Storm Knights/Legacy Cygnar;Weapon Attachment;1;STORMBLADE_INF;1;9;9;0;0
Stormblade Infantry;Storm Knights/Legacy Cygnar;Unit;5;STORMBLADE_INF;6;3;3;0;0
Stormclad;Storm Knights/Legacy Cygnar;Heavy Warjack;4;34.99;15;4;1;0;0
Stormguard Infantry;Storm Knights/Legacy Cygnar;Unit;5;49.99/2;6;3;2;0;0
Stormsmith Grenadiers;Storm Knights/Legacy Cygnar;Unit;3;24.99;4;2;0;0;0
Stormsmith Storm Tower;Storm Knights/Legacy Cygnar;Unit;5;14.99;3;2;1;1;1
Stormsmith Stormcallers;Storm Knights/Legacy Cygnar;Solo;3;17.99;4;3;1;0;0
Stormwall;First Army/Storm Knights/Legacy Cygnar;Colossal Warjack;13;109.99;27;2;1;0;0
Suppressor;Crucible Guard/Legacy Crucible Guard;Heavy Warjack;4;39.99;11;4;0;0;0
Swamp Gobber Bellows Crew;Legacy Circle Orboros;Unit;2;7.99;1;1;1;1;0
Swamp Gobber Chef;Legacy Circle Orboros;Solo;1;12.99;1;2;1;0;0
Swamp Gobber River Raider;Legacy Circle Orboros;Solo;1;15.99;1;9;1;0;0
Sword Knight Officer & Standard;Legacy Cygnar;Command Attachment;2;21.99;3;2;0;0;0
Sword Knights;Legacy Cygnar;Unit;5;69.99/2;6;2;0;0;0
Sylys Wyshnalyrr,The Seeker;Legacy Crucible Guard/Legacy Cygnar;Solo;1;11.99;3;1;1;0;0
Tactical Arcanist Corps;Legacy Crucible Guard/Legacy Cygnar;Unit;3;29.99;4;3;0;0;0
Tanith the Feral Song;Devourer's Host/Legacy Circle Orboros;Warlock;1;10;0;1;1;0;0
Targ;Legacy Circle Orboros;Solo;1;13.99;3;1;1;0;0
Taryn di la Rovissi, Llaelese Gun Mage;Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;4;1;1;0;0
Tempest Blazers;Legacy Cygnar;Unit;12;59.99;9;2;1;0;0
Tesselator;Convergence of Cyriss/Legacy Convergence of Cyriss;Light Warjack;2;24.99;8;4;0;0;0
Thamarite Advocate;Legacy Crucible Guard/Legacy Cygnar;Solo;1;15.99;3;3;0;0;0
Thamarite Archon;Legacy Crucible Guard/Legacy Cygnar;Solo;4;33.99;7;2;0;0;0
Tharn Blood Pack;Devourer's Host/Legacy Circle Orboros;Unit;6;54.99/2;10;2;2;0;0
Tharn Blood Shaman;Devourer's Host/Legacy Circle Orboros;Solo;1;14.99;3;1;1;0;0
Tharn Bloodtrackers;Devourer's Host/Legacy Circle Orboros;Unit;5;54.99/2;8;2;2;0;0
Tharn Bloodweaver Haruspex;Devourer's Host/Legacy Circle Orboros;Command Attachment;1;12.99;2;3;1;0;0
Tharn Bloodweavers;Devourer's Host/Legacy Circle Orboros;Unit;5;25.99;7;3;2;0;0
Tharn Ravager Chieftain;Devourer's Host/Legacy Circle Orboros;Command Attachment;2;17.99;3;2;2;0;0
Tharn Ravager Shaman;Devourer's Host/Legacy Circle Orboros;Solo;2;15.99;4;2;1;0;0
Tharn Ravager White Mane;Devourer's Host/Legacy Circle Orboros;Solo;2;14.99;4;2;1;0;0
Tharn Ravagers;Devourer's Host/Legacy Circle Orboros;Unit;6;54.99/2;9;2;2;2;0
Tharn Wolf Rider Champion;Devourer's Host/Legacy Circle Orboros;Solo;4;21.99;4;2;2;0;0
Tharn Wolf Riders;Devourer's Host/Legacy Circle Orboros;Unit;12;72.29;8;2;1;0;0
The Wastelander;Legacy Circle Orboros;Solo;1;12.99;4;1;1;0;0
The Withershadow Combine;Dark Host/Legacy Cryx;Unit;3;24.99;6;1;1;1;0
Thor Steinhammer;Legacy Crucible Guard/Legacy Cygnar;Solo;1;11.99;2;1;1;0;0
Thorn Gun Mages;Legacy Crucible Guard/Legacy Cygnar;Unit;3;27.99;7;2;0;0;0
Thorn;Legacy Cygnar;Light Warjack;2;27.99;11;1;0;0;0
Thrullg;Legacy Circle Orboros;Solo;2;15.99;4;2;2;2;0
Thunderhead;Storm Knights/Legacy Cygnar;Heavy Warjack;4;59.99;15;1;0;0;0
Toro;Crucible Guard/Legacy Crucible Guard;Heavy Warjack;4;39.99;10;4;0;0;0
Totem Hunter;Legacy Circle Orboros;Solo;2;14.99;5;1;1;0;0
Trancer;Crucible Guard/Legacy Crucible Guard;Solo;1;11.99/2;2;4;4;0;0
Transfinite Emergence Projector;Convergence of Cyriss/Legacy Convergence of Cyriss;Battle Engine;13;69.99;13;2;0;0;0
Transverse Enumerator;Convergence of Cyriss/Legacy Convergence of Cyriss;Command Attachment;1;11.99;2;3;0;0;0
Trench Buster;First Army/Legacy Cygnar;Solo;2;21.99;4;2;0;0;0
Trencher Blockhouse;First Army/Legacy Cygnar;Structure;10;59.99;9;2;0;0;0
Trencher Cannon Crew;First Army/Legacy Cygnar;Unit;6;32.99;5;2;0;0;0
Trencher Chain Gun Crew;First Army/Legacy Cygnar;Unit;5;19.99;3;2;0;0;0
Trencher Combat Engineers;First Army/Legacy Cygnar;Unit;3;24.99;4;2;0;0;0
Trencher Commando Officer;First Army/Legacy Cygnar;Command Attachment;1;11.99;3;4;0;0;0
Trencher Commando Scattergunners;First Army/Legacy Cygnar;Unit;3;23.97;6;2;0;0;0
Trencher Commandos;First Army/Legacy Cygnar;Unit;5;49.99/2;7;2;0;0;0
Trencher Express Team;First Army/Legacy Cygnar;Unit;3;24.99;4;2;1;0;0
Trencher Infantry Officer;First Army/Legacy Cygnar;Command Attachment;1;TRENCHER_ATTACH;2;4;0;0;0
Trencher Infantry;First Army/Legacy Cygnar;Unit;5;TRENCHER_INFANTRY;8;4;2;2;0
Trencher Long Gunner Officer;First Army/Legacy Cygnar;Command Attachment;1;TRENCHER_LONG_GUNNERS;3;2;0;0;0
Trencher Long Gunners;First Army/Legacy Cygnar;Unit;5;TRENCHER_LONG_GUNNERS;8;2;0;0;0
Trencher Master Gunner;First Army/Legacy Cygnar;Solo;1;9.99;3;2;1;0;0
Trencher Rifle Grenadiers;First Army/Legacy Cygnar;Unit;3;TRENCHER_INFANTRY;5;4;1;0;0
Trencher Sniper;First Army/Legacy Cygnar;Solo;1;TRENCHER_ATTACH;2;4;0;0;0
Trencher Warcaster Lieutenant;First Army/Legacy Cygnar;Solo;1;14.99;3;1;0;0;0
Triumph;First Army/Legacy Cygnar;Heavy Warjack;4;44.98;15;1;0;0;0
Una the Falconer;Legacy Circle Orboros;Solo;1;17.99;4;1;0;0;0
Una the Skyhunter;Legacy Circle Orboros;Warlock;1;16.99;0;1;1;0;0
Underchief Mire;Legacy Circle Orboros;Solo;1;12.99;4;1;1;0;0
Vanguard;Crucible Guard/Legacy Crucible Guard;Light Warjack;2;28.99;9;4;0;0;0
Viktor Pendrake;Legacy Circle Orboros/Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;3;1;1;0;0
Vindicator;Crucible Guard/Legacy Crucible Guard;Heavy Warjack;4;39.99;13;4;0;0;0
Void Archon;Legacy Convergence of Cyriss;Solo;4;37.99;8;2;1;1;0
Void Leech;Legacy Circle Orboros;Solo;1;21.99/3;1;4;3;0;0
Vulcan;Crucible Guard/Legacy Crucible Guard;Colossal Warjack;10;144.99;13;2;1;1;0
War Wolf;Secret Dominion/Legacy Circle Orboros;Solo;2;12.99;2;3;1;0;0
Warpborn Skinwalker Alpha;Secret Dominion/Legacy Circle Orboros;Command Attachment;2;21.99;3;2;0;0;0
Warpborn Skinwalkers;Secret Dominion/Legacy Circle Orboros;Unit;6;44.99;7;2;2;0;0
Warpwolf Stalker;Devourer's Host/Legacy Circle Orboros;Heavy Warbeast;4;34.99;15;4;1;0;0
Weird Wendell, Gremlin Wrangler;Legacy Crucible Guard/Legacy Cygnar;Solo;1;34.99;4;1;1;0;0
Well of Orboros;Devourer's Host/Secret Dominion/Legacy Circle Orboros;Structure;10;59.99;9;2;0;0;0
Widget, Mathlete Archeologist;Legacy Convergence of Cyriss/Legacy Crucible Guard/Legacy Cygnar;Solo;1;14.99;3;1;1;0;0
Widget, Tinker Extraordinaire;Legacy Convergence of Cyriss/Legacy Crucible Guard/Legacy Cygnar;Solo;1;11.99;2;1;1;0;0
Wild Argus;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;14.99;6;4;4;2;0
Winter Argus;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;14.99;7;4;2;0;0
Wold Guardian;Secret Dominion/Legacy Circle Orboros;Heavy Warbeast;4;27.99;14;4;1;0;0
Woldwarden;Secret Dominion/Legacy Circle Orboros;Heavy Warbeast;4;27.99;13;4;1;0;0
Woldwatcher;Secret Dominion/Legacy Circle Orboros;Light Warbeast;2;14.99;8;4;1;0;0
Woldwight;Secret Dominion/Legacy Circle Orboros;Light Warbeast;2;11.99;3;4;1;0;0
Woldwrath;Secret Dominion/Legacy Circle Orboros;Gargantuan Warbeast;10;129.99;27;2;0;0;0
Woldwyrd;Secret Dominion/Legacy Circle Orboros;Light Warbeast;2;9.99;7;4;0;0;0
Wolf Lord Morraig;Secret Dominion/Legacy Circle Orboros;Solo;5;29.99;7;1;1;0;0
Wolf With No Name;Secret Dominion/Legacy Circle Orboros;Solo;2;19.99;4;1;1;0;0
Wolves of Orboros Chieftain & Standard;Secret Dominion/Legacy Circle Orboros;Command Attachment;2;17.99;3;3;1;0;0
Wolves of Orboros;Secret Dominion/Legacy Circle Orboros;Unit;5;54.99/2;5;3;2;0;0
Wraith Engine;Dark Host/Legacy Cryx;Battle Engine;10;84.99;11;2;2;0;0
Wrong Eye & Snapjaw;Legacy Circle Orboros;Solo;6;44.99;15;1;1;1;0
Wurmwood, Tree of Fate;Devourer's Host/Legacy Circle Orboros;Warlock;5;30.99;0;1;1;0;0

Captain Buck Hasker;Gravediggers;Warcaster;1;?;0;1;0;0;0
Captain Athena di Baro;Storm Legion;Warcaster;1;?;0;1;0;0;0
