# Name;Factions;Type;Points;Max;Own
# Points for units are frequently used to determine max: 28 / points of unit = max
# The Attachments have a max of 4 or min point of a unit + 1 
Sunset Sea Brave;Greyjoy;Infantry Attachment;1;4;0
Sunspear Dervishes;Martell;Infantry;6;4;0
Sunspear Royal Guard;Martell;Infantry;7;4;0
Sworn Brothers;Night's Watch;Infantry;7;4;0
Sworn Sword Captain;Stark;Infantry Attachment;1;4;3
Syrio Forel, First Blade of Braavos;Stark;Infantry Attachment;2;1;0
Targaryen Upgrade Card Pack;Targaryen;Cards;0;1;0
The Bonelord's Chosen;Free Folk;Infantry;6;1;0
The Great Walrus, Lord of the Frozen Shore;Free Folk;Commander;0;1;0
The Great Walrus, Steeled Through Ice and Snow;Free Folk;Infantry Attachment;1;1;0
The High Seneschal;Neutral;NCU;0;1;1
The High Sparrow, Father of the Faithful;Lannister;NCU;4;1;1
The High Sparrow, His High Holiness;Lannister;Commander;0;1;0
The Warrior's Sons;Lannister;Infantry;7;4;0
The Weeper, Cruel Tyrant;Free Folk;Infantry Attachment;1;1;0
The Weeper, Horrific Butcher;Free Folk;Commander;0;1;0
The Widower, Second in Command;Neutral;Infantry Attachment;0;1;0
Thenn Warriors;Free Folk;Infantry;5;5;0
Theon Greyjoy, "Prince" of Winterfell;Greyjoy;Commander;0;1;0
Theon Greyjoy, Kinslayer;Greyjoy;Infantry Attachment;1;1;0
Thorn Watch Sentinel;Baratheon;Infantry Attachment;1;4;0
Thorn Watch;Baratheon;Infantry;6;4;0
Thoros of Myr, Faithful Believer;Brotherhood Without Banners;Infantry Attachment;2;1;0
Thoros of Myr, The Ember;Brotherhood Without Banners;NCU;4;1;0
Thoros of Myr, The Red Wizard;Brotherhood Without Banners;Commander;0;1;0
Tom Sevenstringers, O'Sevens;Brotherhood Without Banners;Infantry Attachment;1;1;0
Tommen Baratheon, Next in Succession;Lannister;NCU;4;1;0
Tormund Giantsbane, Tall-Talker, Horn-Blower, Breaker of Ice;Free Folk;Infantry Attachment;2;1;0
Tormund Giantsbane, Thunderfist;Free Folk;Commander;0;1;0
Tristifer Botley, Lord of Lordsport;Greyjoy;NCU;4;1;0
Turncoat;Lannister;Infantry Attachment;1;4;0
Tybald, Maester of the Dreadfort;Bolton;NCU;4;1;0
Tycho Nestoris, Iron Banker;Neutral;NCU;5;1;0
Tyene Sand, Septa's Daughter;Martell;NCU;5;1;0
Tyrion Lannister, Halfman;Lannister;Commander;0;1;1
Tyrion Lannister, The Giant of Lannister;Lannister;Infantry Attachment;1;1;0
Tyrion Lannister, The Imp;Lannister;NCU;5;1;1
Tywin Lannister, Lord of Casterly Rock;Lannister;Commander;0;1;1
Tywin Lannister, The Great Lion;Lannister;NCU;6;1;0
Umber Champion;Stark;Infantry Attachment;1;4;1
Unsullied Officer;Targaryen;Infantry Attachment;2;4;0
Unsullied Pikemen;Targaryen;Infantry;7;4;0
Unsullied Swordmasters;Targaryen;Infantry;7;4;0
Varamyr Sixskins, Master Skinchanger;Free Folk;Monster/Commander;3;1;0
Vargo Hoat, The Crippler;Neutral;Infantry Attachment;2;1;0
Vargo Hoat, The Goat of Harrenhal;Neutral;Commander;0;1;0
Veterans of the Watch;Night's Watch;Infantry;7;4;0
Victarion Greyjoy, Master of the Iron Victory;Greyjoy;Infantry Attachment;2;1;0
Victarion Greyjoy, The Iron Captain;Greyjoy;Commander;0;1;0
Viserion;Targaryen;Monster;7;1;1
Walda Frey, Fat Walda;Bolton;NCU;4;1;0
Walder Frey, Lord of the Crossing;Neutral;NCU;5;1;0
Walrus Clan Chieftain;Free Folk;Infantry Attachment;2;4;0
War Mammoth;Free Folk;Monster;6;2;0 # Limit 2
Warsworn;Greyjoy;Infantry Attachment;1;4;0
Watch Captain;Night's Watch;Infantry Attachment;2;4;0
Watch Marshal;Night's Watch;Cavalry/Cavalry Attachment;4;2;0 # Limit 2
Watch Recruiter;Night's Watch;Infantry Attachment;1;4;0
Wendamyr, Maester of the House Greyjoy;Greyjoy;NCU;4;1;0
Winterfell Champion;Stark;Infantry Attachment;1;4;0
Winterfell Guard;Stark;Infantry;7;4;0
Winterfell Guardian;Stark;Cavalry Attachment;1;4;0
Wolf Pack;Free Folk;Monster;3;1;0
Wun Wun;Free Folk;Monster;8;1;0 # Character
Xaro Xhan Daxos, Merchant Prince of Qarth;Targaryen;NCU;4;1;0
Ygritte, Kissed by Fire;Free Folk;NCU;4;1;0
Ygritte, Spearwife Archer;Free Folk;Infantry Attachment;2;1;0
Yoren, Harsh Recruiter;Night's Watch;Infantry Attachment;2;1;0
Yoren, Wandering Crow;Night's Watch;NCU;6;1;0
